brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,46990,23,0
Lenovo,Ideapad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,40200,49999,19,3.9
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,40990,56800,27,3.7
DELL,Inspiron,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,42490,54723,22,0
realme,Book,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,47999,54999,12,4.4
acer,Chromebook,Intel,Celeron Dual,11th,4  GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,15.6,0,No,No,23990,27000,11,3.3
DELL,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,Yes,No,71999,72246,0,4.3
ASUS,VivoBook,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,39990,52990,24,4.4
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,41998,56590,25,4.4
ASUS,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41990,52990,20,0
Lenovo,Ideapad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,0
ASUS,Commercial,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,39990,47990,16,0
Lenovo,Ideapad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,39998,60090,33,4.2
HP,14s,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42490,45892,7,4.4
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41990,49800,15,3.7
ASUS,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,48490,58990,17,0
HP,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,44376,45376,2,4.2
DELL,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43900,57095,23,0
DELL,INSPIRON,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,46690,57095,18,0
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,40990,48900,16,5
DELL,Inspiron,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,49821,19,4
Lenovo,V15,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,43990,50250,12,0
ASUS,VivoBook,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,36990,44990,17,4.5
DELL,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,48500,58493,17,0
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,48990,58990,16,0
ASUS,Chromebook,Intel,Celeron Dual,11th,4  GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,15.6,0,No,No,23490,29990,21,4.2
HP,Pavilion,Intel,Core i3,8th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,54238,87136,0,4.4
ASUS,VivoBook,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,37990,50990,25,4.3
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,57330,25,4.4
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,49590,13,4.3
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,49990,28,4.4
RedmiBook,15,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,42990,55999,23,4.3
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.3
ASUS,VivoBook,Intel,Core i3,11th,8  GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,14,1,Yes,Yes,51990,67990,23,4.7
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,48990,62990,22,4.5
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.5
